trial_index,gesture,trial_num,start_timestamp,end_timestamp,num_frames
0,push,2,2026-07-24T23:05:28.716655+00:00,2026-07-24T23:05:34.395872+00:00,10
1,push,3,2026-07-24T23:05:36.179551+00:00,2026-07-24T23:05:49.188494+00:00,10
2,push,4,2026-07-24T23:05:51.345345+00:00,2026-07-24T23:05:53.898504+00:00,10
3,push,5,2026-07-24T23:05:56.427545+00:00,2026-07-24T23:05:58.908497+00:00,10
4,pull,0,2026-07-24T23:06:15.572933+00:00,2026-07-24T23:06:27.649017+00:00,1
5,pull,1,2026-07-24T23:06:31.931644+00:00,2026-07-24T23:06:34.286566+00:00,10
6,pull,2,2026-07-24T23:06:36.582540+00:00,2026-07-24T23:06:39.275627+00:00,10
7,pull,3,2026-07-24T23:06:40.819584+00:00,2026-07-24T23:06:43.451825+00:00,10
8,pull,4,2026-07-24T23:06:44.900446+00:00,2026-07-24T23:06:47.764637+00:00,10
9,pull,5,2026-07-24T23:06:49.441859+00:00,2026-07-24T23:06:51.935773+00:00,10
10,pull,6,2026-07-24T23:06:53.735715+00:00,2026-07-24T23:06:56.778601+00:00,10
11,right,0,2026-07-24T23:06:58.008816+00:00,2026-07-24T23:07:04.184524+00:00,10
12,right,1,2026-07-24T23:07:05.913684+00:00,2026-07-24T23:07:08.010299+00:00,10
13,right,3,2026-07-24T23:07:14.156238+00:00,2026-07-24T23:07:24.307901+00:00,1
14,right,4,2026-07-24T23:07:27.450848+00:00,2026-07-24T23:07:29.667489+00:00,11
15,right,5,2026-07-24T23:07:31.706549+00:00,2026-07-24T23:07:34.165988+00:00,10
16,right,6,2026-07-24T23:07:35.753300+00:00,2026-07-24T23:07:39.747038+00:00,11
17,left,0,2026-07-24T23:07:41.122483+00:00,2026-07-24T23:08:16.464544+00:00,10
18,left,1,2026-07-24T23:08:18.408415+00:00,2026-07-24T23:08:20.637552+00:00,10
19,left,2,2026-07-24T23:08:21.698872+00:00,2026-07-24T23:08:24.684900+00:00,10
20,left,3,2026-07-24T23:08:26.229946+00:00,2026-07-24T23:08:28.396600+00:00,10
21,left,4,2026-07-24T23:08:30.823558+00:00,2026-07-24T23:09:08.813319+00:00,10
22,left,5,2026-07-24T23:09:10.052601+00:00,2026-07-24T23:09:13.149520+00:00,10
